"complex_name","protein_path","ligand_description","protein_sequence"
"","data/1a0q/1a0q_protein_processed.pdb","C[C@@H](CCC(=O)[O-])[C@H]1CC[C@@]2(C)[C@@H]3C(=O)C[C@@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C	 NSC1614	 ZINC000118915675",""
"","data/1a0q/1a0q_protein_processed.pdb","C[C@H]1CC[C@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@H]2C",""
"","data/1a0q/1a0q_protein_processed.pdb","CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C",""
"","data/1a0q/1a0q_protein_processed.pdb","CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C",""
"","data/1a0q/1a0q_protein_processed.pdb","C[C@@H](C(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C",""
"","data/1a0q/1a0q_protein_processed.pdb","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H](SC(N)=[NH2+])[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C",""
"","data/1a0q/1a0q_protein_processed.pdb","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]([NH2+]Cc4ccccc4)[C@]45C[C@H]4CC[C@]5(C)[C@H]3CC[C@@]21C",""
"","data/1a0q/1a0q_protein_processed.pdb","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C",""
"","data/1a0q/1a0q_protein_processed.pdb","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C=CCC[C@]4(C)[C@H]3CC[C@@]21C",""
"","data/1a0q/1a0q_protein_processed.pdb","C[C@@H](CCC(=O)[N-]S(=O)(=O)c1ccc(N)cc1)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3C[C@@H](O)[C@@]21C",""
"","data/1a0q/1a0q_protein_processed.pdb","C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4C(=O)C[C@]3(C)[C@H]1[C@H]2C",""
"","data/1a0q/1a0q_protein_processed.pdb","CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C",""
"","data/1a0q/1a0q_protein_processed.pdb","C[C@@H](/C=N/O)[C@H]1CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@]4(C)[C@H]3CC[C@@]21C",""
"","data/1a0q/1a0q_protein_processed.pdb","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1C[C@@H]1[C@@H]2C(=O)C=C2CCCC[C@@H]21",""
"","data/1a0q/1a0q_protein_processed.pdb","CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@]12C",""
